User_ID,Age,Gender,Physical_Activity_Level,Diet_Type,BMI,Caffeine_Intake_mg,Water_Intake_liters,Screen_Time_Hours,Daily_Steps,Calories_Burned,Resting_Heart_Rate,Daily_Sleep_Hours,Deep_Sleep_Hours,Sleep_Quality_Score,Daily_Stress_Level
U00001,56,Female,Low,Healthy,25.1,99.0,1.6,3.9,4731,1697,74.0,6.6,1.5,4.0,Low
U00002,69,Male,Low,Average,25.8,104.0,2.2,3.9,4440,1377,70.0,8.0,2.4,5.3,Low
U00003,46,Male,Low,Average,24.0,188.0,1.4,5.5,5023,1289,72.0,8.2,1.9,5.0,Medium
U00004,32,Female,Medium,Healthy,25.5,124.0,3.1,9.8,6082,1683,69.0,7.4,2.5,3.9,Low
U00005,60,Male,Medium,Unhealthy,,0.0,2.4,5.3,7285,1621,73.0,7.9,2.2,5.2,Low
U00006,25,Male,Medium,Unhealthy,27.6,142.0,3.1,8.4,8499,1736,66.0,7.6,2.5,3.7,Medium
U00007,38,Female,Medium,Unhealthy,27.8,111.0,1.5,10.9,6067,1688,69.0,6.7,1.3,3.3,Medium
U00008,56,Male,High,Healthy,27.9,404.0,3.6,7.4,15299,1968,67.0,5.4,1.7,3.3,Low
U00009,36,Female,High,Unhealthy,24.4,373.0,3.5,5.1,8250,1289,70.0,8.2,1.4,5.2,Low
U00010,40,Female,High,Unhealthy,26.3,,1.2,6.8,16436,1798,63.0,6.2,1.8,3.7,High
U00011,28,Male,High,Unhealthy,20.7,320.0,2.1,6.9,13548,1550,51.0,7.2,1.6,4.4,Medium
U00012,28,Female,Medium,Average,30.1,230.0,2.2,11.3,9388,1501,69.0,7.8,1.6,3.7,Medium
U00013,41,Male,Medium,Average,17.5,68.0,1.3,2.7,9993,1291,50.0,7.6,2.1,4.7,Low
U00014,53,Male,Low,Healthy,24.7,398.0,2.3,9.8,6114,1426,77.0,7.5,1.2,3.8,Medium
U00015,57,Male,Medium,Healthy,29.6,252.0,2.9,2.6,8537,1935,76.0,7.4,2.5,5.4,Low
U00016,41,Male,Medium,Healthy,19.5,12.0,2.1,9.0,4533,1286,62.0,6.3,1.2,3.7,Low
